# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	27429
#@/user_id	659266f3-df3f-408b-a1c2-a69bcad06620
a 	啊	c=16 d=1.03335 t=9474
ji you hao chu 	既有好處	c=1 d=1 t=6387
ji yu 	基於	c=21 d=1.00155 t=26514
ji yuan 	机缘	c=1 d=1 t=23604
ji zan 	積攢	c=1 d=1 t=5447
ji zao 	及早	c=1 d=1 t=25489
ji zhi 	機制	c=3 d=1 t=23177
ji zhong 	幾種	c=1 d=1 t=11939
ji zi 	激子	c=1 d=1 t=27118
ji zuo 	記作	c=3 d=2.98506 t=26055
jia 	加	c=16 d=1.003 t=21922
jia 	家	c=1 d=1 t=20046
jia dao 	加到	c=3 d=1 t=12719
jia de 	加的	c=1 d=1 t=22912
jia ge 	價格	c=0 d=0.1 t=5325
jia ge 	加個	c=3 d=1.81465 t=25511
jia gou 	架构	c=3 d=1 t=23093
jia gou shi 	架構師	c=1 d=1 t=10839
jia gou xia 	架构下	c=1 d=1 t=19282
jia jin 	加進	c=2 d=1.34473 t=3819
jia la 	加拉	c=1 d=1 t=546
jia le 	加了	c=20 d=1.00007 t=24831
jia le dian 	加了點	c=2 d=1 t=21217
jia le yi ge 	加了一個	c=1 d=1 t=20951
jia qi 	家期	c=0 d=0.1 t=7060
jia qiang 	加強	c=1 d=1 t=5910
jia qiang ban 	加強版	c=1 d=1 t=20009
jia ren 	家人	c=2 d=1.8825 t=7009
jia ru 	加入	c=18 d=1 t=26898
jia ru dao 	加入到	c=3 d=1.07444 t=4205
jia shang 	加上	c=3 d=1 t=23998
jia shang le 	加上了	c=1 d=1 t=20870
jia she 	假設	c=8 d=1.01597 t=25689
jia su 	加速	c=7 d=1.09065 t=23104
jia suo 	加鎖	c=1 d=1 t=14250
jia ting 	家庭	c=1 d=1 t=27139
jia wo 	加我	c=1 d=1 t=4887
jia yi 	加一	c=0 d=0.1 t=23866
jia yi ceng 	加一層	c=2 d=1.11475 t=24300
jia yi ge 	加一個	c=7 d=1.00004 t=26776
jia yi xia 	加一下	c=1 d=1 t=16927
jia zai 	加載	c=1 d=1 t=4172
jia zhi 	加值	c=1 d=1 t=21912
jian 	劍	c=1 d=1 t=11103
jian 	建	c=1 d=0.1 t=13697
jian 	減	c=2 d=1 t=25090
jian 	見	c=8 d=1.1922 t=26845
jian 	間	c=2 d=1 t=18799
jian bu chu 	建不出	c=1 d=1 t=13698
jian ce 	檢測	c=9 d=1.17023 t=26571
jian ce 	監測	c=2 d=1.0007 t=12519
jian ce dao 	檢測到	c=1 d=1 t=12661
jian cha 	檢查	c=71 d=1.00783 t=27298
jian cha le 	檢查了	c=4 d=1.10338 t=7236
jian cha yi ci 	檢查一次	c=1 d=1 t=23702
jian cha yi xia 	檢查一下	c=2 d=1 t=10135
jian cheng 	簡稱	c=1 d=1 t=1636
jian chi 	堅持	c=2 d=1 t=9901
jian chu 	建出	c=1 d=0.1 t=18170
jian chu lai 	建出來	c=1 d=1 t=18171
jian dan 	簡單	c=6 d=1 t=24475
jian dao 	見到	c=2 d=1 t=23120
jian duan 	簡短	c=0 d=0.1 t=9818
jian duan de 	簡短的	c=1 d=1 t=9819
jian ge 	健哥	c=1 d=1 t=21941
jian ge 	間隔	c=13 d=1.98511 t=22807
jian hua 	簡化	c=1 d=1 t=4339
jian huang shi 	鑑黃師	c=1 d=1 t=1882
jian kong 	監控	c=5 d=1.01003 t=22181
jian le 	建了	c=1 d=1 t=2290
jian li 	建立	c=10 d=1 t=18193
jian li 	簡歷	c=1 d=1 t=4883
jian pan 	鍵盤	c=3 d=2.39257 t=442
jian rong 	兼容	c=1 d=1 t=20246
jian shao 	減少	c=10 d=1.49653 t=26496
jian ting 	監聽	c=2 d=1.00003 t=2847
jian yan 	檢驗	c=4 d=2.80991 t=15697
jian yi 	建一	c=0 d=0.1 t=5917
jian yi 	建議	c=1 d=1 t=8039
jian yi ge 	建一個	c=1 d=1 t=5918
jian yi shi 	建議是	c=1 d=1 t=4446
jian zhu 	建築	c=1 d=1 t=3445
jiang 	將	c=70 d=1.50868 t=26891
jiang 	江	c=1 d=1 t=486
jiang dao 	降到	c=1 d=1 t=20802
jiang de 	講得	c=1 d=1 t=1896
jiang di 	降低	c=11 d=1.00846 t=25725
jiang lai 	將來	c=3 d=1 t=25894
jiang le 	講了	c=1 d=1 t=15583
jiang li 	獎勵	c=1 d=1 t=5539
jiang pin 	獎品	c=1 d=1 t=19601
jiang qi 	將其	c=1 d=1 t=22580
jiang su 	江蘇	c=1 d=1 t=9716
jiang ta 	將它	c=2 d=1 t=23563
jiang wei 	降爲	c=3 d=1 t=19853
jiang zhe 	江浙	c=0 d=0.1 t=8743
jiang zhe cai 	江浙菜	c=1 d=1 t=8744
jiao 	叫	c=3 d=1 t=24759
jiao 	嚼	c=1 d=1 t=9325
jiao 	較	c=2 d=1.98511 t=8894
jiao ben 	腳本	c=2 d=1 t=25095
jiao cheng 	教程	c=2 d=1 t=23191
jiao da 	較大	c=3 d=1.85736 t=26227
jiao gan 	交感	c=1 d=1 t=25128
jiao gei 	交給	c=1 d=1 t=7751
jiao hu 	交互	c=2 d=1 t=23896
jiao hu shi 	交互式	c=3 d=1 t=10814
jiao ji 	交集	c=4 d=3.02385 t=3869
jiao le 	交了	c=3 d=1 t=19652
jiao liu 	交流	c=2 d=1.9802 t=223
jiao lv 	焦慮	c=1 d=1 t=7328
jiao ruo 	較弱	c=1 d=1 t=15306
jiao sha 	叫啥	c=1 d=1 t=3394
jiao shao 	較少	c=1 d=1 t=26531
jiao shou 	教授	c=1 d=1 t=7096
jiao wei 	較爲	c=1 d=1 t=14226
jiao wo 	叫我	c=1 d=1 t=8768
jiao xiao 	較小	c=3 d=1 t=27272
jiao xue 	教學	c=1 d=1 t=7118
jiao xun 	教訓	c=1 d=1 t=19306
jiao yan shi 	教研室	c=3 d=2.01887 t=7368
jiao yi 	交易	c=3 d=2.91259 t=5351
jiao you 	交由	c=1 d=1 t=24365
jiao zhu 	腳注	c=4 d=3.97017 t=27020
jie 	傑	c=1 d=1 t=567
jie 	接	c=3 d=1 t=21945
jie 	節	c=0 d=0.1 t=6849
jie da 	解答	c=3 d=2.96536 t=4951
jie dian 	節點	c=12 d=1.16969 t=26728
jie dian shu 	節點數	c=1 d=1 t=26039
jie duan 	階段	c=5 d=0.119884 t=21526
jie gou 	結構	c=17 d=2.76684 t=27173
jie gou ti 	結構體	c=2 d=1 t=21606
jie guan 	接管	c=2 d=1 t=17350
jie guo 	結果	c=20 d=1.00366 t=27058
jie guo shi 	結果是	c=1 d=1 t=11391
jie hou 	節後	c=1 d=1 t=24978
jie jue 	解決	c=29 d=1 t=25713
jie jue bu liao 	解決不了	c=1 d=1 t=19155
jie jue de 	解決的	c=3 d=1.00091 t=4355
jie jue le 	解決了	c=3 d=1 t=19463
jie jue wen ti 	解決問題	c=1 d=1 t=12237
jie kou 	接口	c=11 d=1.00084 t=23453
jie lun 	結論	c=4 d=2.97516 t=27400
jie lun shi 	結論是	c=1 d=1 t=27181
jie shao 	介紹	c=4 d=1 t=17090
jie shi 	结使	c=1 d=1 t=20419
jie shi 	解釋	c=1 d=1 t=23138
jie shou 	接受	c=9 d=1.00075 t=23232
jie shou 	接收	c=1 d=1 t=25773
jie shou dao 	接收到	c=1 d=1 t=21277
jie shou dui 	接受對	c=1 d=1 t=21325
jie shu 	結束	c=20 d=1.00083 t=27207
jie shu hou 	結束後	c=1 d=1 t=3929
jie suo 	解鎖	c=6 d=1.7972 t=17076
jie ti 	解體	c=1 d=1.0956 t=25135
jie ti de 	解體的	c=1 d=1 t=25127
jie tu 	截圖	c=1 d=1 t=19515
jie wei 	結尾	c=1 d=1 t=14430
jie xi 	解析	c=2 d=1 t=20353
jie xia lai 	接下來	c=1 d=1 t=19666
jie yi ge 	接一個	c=1 d=1 t=19394
jin 	僅	c=2 d=1.79057 t=1003
jin 	近	c=2 d=1 t=25381
jin 	進	c=18 d=0.1 t=23362
jin 	金	c=0 d=0.1 t=354
jin cheng 	進城	c=1 d=1 t=1718
jin cheng 	進程	c=2 d=1 t=19015
jin dang 	僅當	c=1 d=1 t=7984
jin du 	進度	c=1 d=1 t=12377
jin er 	進而	c=2 d=1 t=25752
jin ji 	緊急	c=2 d=1 t=25429
jin jie 	進階	c=0 d=0.1 t=5372
jin jie ban 	進階版	c=1 d=1 t=5373
jin ke neng 	儘可能	c=3 d=1 t=26495
jin kuai 	儘快	c=1 d=1 t=18436
jin lai 	進來	c=5 d=1.00002 t=17258
jin le 	進了	c=2 d=1 t=27265
jin liang 	儘量	c=2 d=1.00002 t=26492
jin nian 	近年	c=1 d=1 t=9265
jin qu 	進去	c=4 d=0.100001 t=26661
jin rong 	金融	c=1 d=1 t=556
jin ru 	進入	c=10 d=1.9802 t=24672
jin sheng 	晉升	c=1 d=1 t=9279
jin tian 	今天	c=3 d=1 t=24824
jin xing 	進行	c=12 d=1.01265 t=26905
jin xing zhong 	進行中	c=1 d=1 t=20770
jin yong 	禁用	c=4 d=1.00009 t=20059
jin zao 	儘早	c=1 d=1 t=12977
jin zhan 	近戰	c=2 d=1.93707 t=5854
jin zhan 	進展	c=1 d=1 t=23919
jin zhi 	禁止	c=2 d=1.00127 t=15090
jing 	鏡	c=0 d=0.1 t=1876
jing cai 	精彩	c=1 d=1 t=1555
jing dong 	京東	c=2 d=1 t=10832
jing ji 	經濟	c=2 d=1.96561 t=5319
jing li 	經歷	c=1 d=1 t=23213
jing ling 	精靈	c=1 d=1 t=425
jing pi li jin 	精疲力尽	c=1 d=1 t=27312
jing shen 	精神	c=2 d=1.93239 t=4418
jing shen ke 	精神科	c=1 d=1 t=4437
jing tai fen xi 	靜態分析	c=1 d=1 t=22919
jing wei 	精衛	c=1 d=1 t=4401
jing xiang 	鏡像	c=11 d=1.39708 t=19727
jing xiang 	靜香	c=3 d=2.92275 t=25176
jing yan 	经验	c=5 d=2.31072 t=6319
jing yan zhi 	經驗值	c=1 d=1 t=5777
jing yin 	靜音	c=1 d=1 t=441
jing ying 	精英	c=1 d=1 t=9724
jing you 	經由	c=4 d=1.956 t=14782
jing zao 	京造	c=1 d=1 t=259
jing zheng 	競爭	c=1 d=1 t=10226
jiu 	就	c=87 d=2.46181 t=26663
jiu 	救	c=2 d=1.53526 t=11264
jiu 	舊	c=19 d=1 t=26815
jiu 	酒	c=1 d=1 t=6819
jiu ba 	就把	c=6 d=1 t=21252
jiu ba ta 	就把它	c=2 d=1 t=26512
jiu ban ben 	舊版本	c=2 d=1 t=19362
jiu bian cheng 	就變成	c=1 d=1 t=1549
jiu bu yong 	就不用	c=3 d=1 t=24327
jiu cheng le 	就成了	c=1 d=1 t=4607
jiu cong 	就從	c=1 d=1 t=2630
jiu de 	舊的	c=4 d=1 t=19180
jiu dei 	就得	c=1 d=1 t=25075
jiu fang 	就放	c=1 d=1 t=22001
jiu hai hao le 	就還好了	c=1 d=1 t=10837
jiu hao le 	就好了	c=3 d=1 t=21794
jiu hen 	就很	c=1 d=1 t=21013
jiu hui 	就會	c=8 d=1.02472 t=25477
jiu hui shi 	就會是	c=1 d=1 t=8388
jiu hui yong 	就會用	c=1 d=1 t=11045
jiu ji 	救急	c=1 d=1 t=5014
jiu jiang 	就將	c=2 d=1 t=26895
jiu kan 	就看	c=1 d=1 t=3899
jiu ke yi 	就可以	c=15 d=1 t=26820
jiu mei sha 	就沒啥	c=1 d=1 t=1714
jiu mei you 	就沒有	c=1 d=1 t=10607
jiu neng 	就能	c=5 d=1 t=21047
jiu rang wo 	就讓我	c=1 d=1 t=4806
jiu shi 	就是	c=50 d=1.70987 t=26702
jiu shuo ming 	就說明	c=1 d=1 t=23039
jiu wen 	就問	c=1 d=1 t=7889
jiu xing 	就行	c=1 d=1 t=23906
jiu xing le 	就行了	c=2 d=1 t=22841
jiu xu yao 	就需要	c=1 d=1 t=18707
jiu ye 	就業	c=1 d=0.100476 t=11208
jiu ye xie yi 	就業協議	c=1 d=1 t=11209
jiu yong 	就用	c=1 d=1 t=18079
jiu zai 	就在	c=1 d=1 t=10531
jiu zhi 	就只	c=0 d=0.1 t=12890
jiu zhi dao 	就知道	c=1 d=1 t=2979
jiu zhi shi 	就只是	c=1 d=1 t=12891
ju 	巨	c=0 d=0.1 t=24901
ju 	拒	c=0 d=0.1 t=10730
ju 	鞠	c=2 d=1.97045 t=11077
ju bu bian liang 	局部變量	c=1 d=1 t=18355
ju bu xing 	局部性	c=2 d=1 t=27227
ju da 	巨大	c=1 d=1 t=20803
ju diao 	拒掉	c=5 d=1.01318 t=24592
ju diao le 	拒掉了	c=1 d=1 t=10731
ju duo shi 	巨多時	c=1 d=1 t=24902
ju hao 	句號	c=1 d=1 t=6493
ju jue 	拒絕	c=17 d=2.35305 t=25551
ju jue diao 	拒絕掉	c=1 d=1 t=24598
ju jue qing qiu 	拒絕請求	c=1 d=1 t=22299
ju le 	拒了	c=2 d=1 t=26513
ju li 	距離	c=2 d=1.00956 t=16414
ju liang 	巨量	c=2 d=1 t=26140
ju ti 	具體	c=20 d=1.22764 t=26125
ju xian 	具現	c=1 d=1 t=18380
ju xing 	矩形	c=1 d=1 t=6488
juan zhou 	卷軸	c=2 d=1.94649 t=5560
jue 	決	c=2 d=1 t=9920
jue 	訣	c=3 d=1.99005 t=11113
jue de 	覺得	c=3 d=1 t=25209
jue ding 	決定	c=2 d=1 t=7350
jue dui 	絕對	c=1 d=1 t=6303
jue se 	角色	c=3 d=1 t=11137
jue shi 	爵士	c=1 d=1 t=2769
jun 	俊	c=6 d=1 t=25572
jun 	鈞	c=1 d=1 t=11120
jun heng 	均衡	c=1 d=1 t=80
jun ye 	俊曄	c=3 d=1.89588 t=26846
jun ye ge 	俊燁哥	c=1 d=1 t=19464
jun yun 	均勻	c=1 d=1 t=16228
jun zhi 	均值	c=2 d=1.99501 t=19716
ka 	卡	c=1 d=0.81177 t=9343
ka dun 	卡頓	c=3 d=2.16023 t=13304
ka fei 	咖啡	c=1 d=1 t=19749
ka si 	卡死	c=1 d=1 t=18243
ka zai 	卡在	c=2 d=1 t=16181
ka zhu 	卡主	c=1 d=1 t=11539
ka zhu 	卡住	c=4 d=1 t=21719
ka zhu le 	卡住了	c=2 d=1.00975 t=18214
kai 	開	c=4 d=1 t=19001
kai bao xiang 	開寶箱	c=1 d=1 t=5545
kai che 	開車	c=1 d=1 t=17751
kai fa 	開發	c=2 d=1.05287 t=19020
kai fa ji 	開發機	c=3 d=1 t=18873
kai guan 	開關	c=3 d=2.03643 t=26558
kai lai 	開來	c=1 d=1 t=11688
kai le 	開了	c=2 d=1 t=25165
kai qi 	開啓	c=12 d=2.51559 t=26573
kai qi le 	開啓了	c=2 d=1.89583 t=4267
kai shi 	開始	c=29 d=1.05503 t=23621
kai tou 	開頭	c=1 d=1 t=17532
kai xiao 	開銷	c=1 d=1 t=14326
kai yuan 	開源	c=0 d=0.1 t=18383
kai yuan xiang mu 	開源項目	c=1 d=1 t=18384
kai zheng 	開整	c=2 d=1.99005 t=22012
kan 	看	c=53 d=1.81508 t=27187
kan 	砍	c=1 d=1 t=24914
kan bu 	看不	c=0 d=0.1 t=8758
kan bu dao 	看不到	c=1 d=1 t=27028
kan bu liao 	看不了	c=1 d=1 t=8759
kan chu 	看出	c=5 d=1.98032 t=24688
kan chu lai 	看出來	c=2 d=1 t=14552
kan dao 	看到	c=9 d=1.82761 t=27176
kan dao de 	看到的	c=1 d=1 t=19670
kan dao le 	看到了	c=3 d=1 t=24934
kan de 	看的	c=3 d=1.00002 t=22423
kan ding 	勘定	c=1 d=1 t=19175
kan kan 	看看	c=17 d=1.39274 t=27402
kan lai 	看來	c=1 d=1 t=15018
kan le 	看了	c=8 d=1.05072 t=26836
kan le 	砍了	c=1 d=1 t=24917
kan lun wen 	看論文	c=2 d=1 t=27308
kan qi lai 	看起來	c=2 d=1 t=25193
kan wan le 	看完了	c=2 d=1.73712 t=21241
kan yi 	看以	c=1 d=1 t=997
kan yi xia 	看一下	c=2 d=1 t=27405
kan zhe 	看着	c=2 d=1.00004 t=21012
kang 	康	c=1 d=1 t=13457
kang kang 	康康	c=2 d=1 t=26962
kao 	烤	c=0 d=0.1 t=6096
kao 	靠	c=13 d=1.00452 t=26918
kao bei 	拷貝	c=1 d=1 t=4265
kao lv 	考慮	c=40 d=1.32061 t=26992
kao lv de 	考慮的	c=1 d=1 t=16329
kao lv le 	考慮了	c=1 d=1 t=1587
kao pu 	靠譜	c=2 d=1.99005 t=26980
kao qin 	考勤	c=1 d=1 t=5137
kao rou 	烤肉	c=3 d=2.87912 t=6102
kao yan 	考研	c=1 d=1 t=4626
ke 	可	c=3 d=2.0605 t=26063
ke 	課	c=1 d=1 t=24967
ke 	軻	c=1 d=1 t=13263
ke guan ce xing 	可觀測性	c=2 d=1.6942 t=26355
ke hu 	客戶	c=1 d=1 t=25494
ke hu duan 	客戶端	c=1 d=1 t=20279
ke ji 	可積	c=1 d=1 t=552
ke ji 	科技	c=2 d=1 t=4281
ke jian 	可見	c=1 d=1 t=6654
ke kao 	可靠	c=1 d=1 t=26223
ke kao xing 	可靠性	c=1 d=1 t=26222
ke neng 	可能	c=44 d=1.34375 t=27229
ke neng hui 	可能會	c=2 d=1.01398 t=26743
ke neng qing kuang 	可能情況	c=1 d=1 t=10551
ke neng shi 	可能是	c=2 d=1 t=14641
ke neng xing 	可能性	c=2 d=1 t=25289
ke neng yi ge 	可能一個	c=1 d=1 t=26772
ke neng zai 	可能在	c=1 d=1 t=10339
ke pa 	可怕	c=3 d=1.0009 t=6175
ke pei zhi 	可配置	c=1 d=1 t=26064
ke shi 	可是	c=1 d=1 t=4747
ke shi hua 	可視化	c=2 d=1.99501 t=24377
ke xing 	可行	c=0 d=0.1 t=17252
ke xing ma 	可行嗎	c=1 d=1 t=17253
ke xue 	科學	c=0 d=0.1 t=9813
ke xue yu ji shu 	科學與技術	c=1 d=1 t=9814
ke yan xiang mu 	科研項目	c=1 d=1 t=2275
ke yi 	可以	c=129 d=2.48437 t=27264
ke yi ba 	可以把	c=1 d=1 t=11998
ke yi cong 	可以從	c=1 d=1 t=10757
ke yi gai 	可以改	c=1 d=1 t=23251
ke yi gai cheng 	可以改成	c=1 d=1 t=24372
ke yi kan dao 	可以看到	c=3 d=1 t=15687
ke yi kao 	可以靠	c=1 d=1 t=24485
ke yi lai 	可以來	c=1 d=1 t=4399
ke yi le 	可以了	c=1 d=1 t=1975
ke yi shi yong 	可以使用	c=1 d=1 t=22486
ke yi shuo 	可以說	c=1 d=1 t=6977
ke yi ting dao 	可以聽到	c=1 d=1 t=19443
ke yi wei 	可以爲	c=1 d=1 t=23581
ke yi xuan ze 	可以選擇	c=1 d=1 t=15405
ke yi yong 	可以用	c=2 d=1 t=19469
ke yi you 	可以由	c=1 d=1 t=24766
ke yong 	可用	c=1 d=1 t=21584
ke yong xing 	可用性	c=4 d=3.76739 t=26224
ke you 	可由	c=1 d=1 t=653
ke zhi 	可知	c=1 d=1 t=8155
ken ding 	肯定	c=7 d=1 t=27329
ken ding shi 	肯定是	c=1 d=1 t=2580
keng le 	坑了	c=1 d=0.1 t=23301
kong 	孔	c=4 d=3.30202 t=18313
kong 	空	c=5 d=1 t=25615
kong bu 	恐怖	c=2 d=1 t=27318
kong de 	空的	c=1 d=1 t=19431
kong ji 	空集	c=2 d=1.99501 t=9839
kong jian 	空間	c=14 d=1 t=24956
kong le 	空了	c=1 d=1 t=8261
kong pa 	恐怕	c=1 d=1 t=7025
kong ping 	空瓶	c=1 d=1 t=16335
kong tiao 	空調	c=1 d=1 t=23322
kong zhi 	控制	c=17 d=2.89067 t=26717
kou wei 	口味	c=1 d=1 t=8185
ku 	庫	c=2 d=1 t=10594
ku han shu 	庫函數	c=1 d=1 t=12417
ku li 	苦力	c=0 d=0.1 t=9189
ku li huo 	苦力活	c=1 d=1 t=9190
kuai 	塊	c=0 d=0.1 t=19418
kuai 	快	c=2 d=1 t=12884
kuai di 	快遞	c=2 d=1 t=15337
kuai dian 	快點	c=1 d=0.1 t=12438
kuai dian xia ban 	快點下班	c=1 d=1 t=12439
kuai man 	快慢	c=1 d=1 t=13054
kuai rang wo 	快讓我	c=1 d=1 t=411
kuai shou 	快手	c=2 d=1.99501 t=18297
kuai su 	快速	c=9 d=2.35758 t=22872
kuai zhao 	快照	c=7 d=1 t=22682
kuan song 	寬鬆	c=1 d=1 t=7342
kuang 	狂	c=1 d=1 t=5514
kuang jia 	框架	c=1 d=1 t=11769
kuang shui 	狂睡	c=1 d=1 t=7965
kun 	鯤	c=1 d=1 t=11109
kun nan 	困難	c=1 d=1 t=8444
kun shan 	昆山	c=1 d=1 t=7974
kuo chong 	擴充	c=2 d=1.81465 t=8132
kuo suo rong 	擴縮容	c=1 d=1 t=17821
kuo zhan 	擴展	c=2 d=1 t=25902
kuo zhan cheng 	擴展成	c=1 d=1 t=1832
kuo zhang 	擴張	c=2 d=1.48191 t=8146
la 	拉	c=4 d=1.00052 t=26967
la 	辣	c=1 d=1 t=9060
la ji 	垃圾	c=1 d=1 t=9830
la le 	拉了	c=1 d=1.07334 t=27100
la sa 	拉薩	c=1 d=1 t=13606
lai 	來	c=29 d=1.01232 t=26379
lai biao shi 	來表示	c=1 d=1 t=25083
lai bu ji 	來不及	c=1 d=1 t=18124
lai de 	來得	c=2 d=1.75201 t=17299
lai de 	來的	c=5 d=1 t=15739
lai le 	來了	c=3 d=1 t=21698
lai mo ni 	來模擬	c=1 d=1 t=25231
lai qu fen 	來區分	c=1 d=1 t=11747
lai shuo 	來說	c=3 d=1 t=24369
lai ti gao 	來提高	c=1 d=1 t=23586
lai wan le 	來晚了	c=1 d=1 t=480
lai yuan 	來源	c=1 d=1 t=12027
lai zi 	來自	c=41 d=0.1 t=26893
lai zi yu 	來自於	c=4 d=1.00001 t=15056
lai zuo 	來做	c=0 d=0.1 t=24893
lai zuo wei 	來做爲	c=1 d=1 t=24894
lan 	爛	c=1 d=1 t=26470
lan 	蘭	c=2 d=1 t=14238
lan ce shi 	爛測試	c=1 d=1 t=21741
lan le 	爛了	c=3 d=2.25296 t=19669
lan se 	藍色	c=1 d=1 t=23913
lan yi dian 	爛一點	c=2 d=1.91851 t=21665
lang fei 	浪費	c=1 d=1 t=2549
lang fei shi jian 	浪費時間	c=1 d=1 t=4703
lao 	老	c=1 d=0.1 t=22396
lao ban 	老闆	c=6 d=1.02317 t=9520
lao qian duan 	老前端	c=1 d=1 t=22397
lao shi 	老師	c=10 d=1 t=17934
lao xiang 	老鄉	c=1 d=1 t=359
le 	了	c=238 d=1.09683 t=27304
le 	樂	c=1 d=1 t=310
le dian 	了點	c=1 d=1 t=21038
le ge 	樂哥	c=1 d=1 t=18222
le guan 	樂觀	c=0 d=0.1 t=6600
le guan shi wu 	樂觀事務	c=1 d=1 t=6601
le ma 	了嗎	c=0 d=0.1 t=19191
le pao 	樂跑	c=1 d=1 t=13567
le qu 	樂趣	c=1 d=1 t=5381
lei 	磊	c=0 d=0.1 t=10403
lei 	類	c=20 d=2.49167 t=20413
lei bie 	類別	c=1 d=1 t=20597
lei ming 	类名	c=5 d=1.00005 t=4149
lei peng 	雷鵬	c=4 d=1 t=27409
lei qiao 	淚橋	c=1 d=1 t=14242
lei si 	類似	c=15 d=1.00475 t=27122
lei si yu 	類似於	c=3 d=1 t=12090
lei xing 	類型	c=21 d=1.00015 t=23075
lei xing shi 	類型是	c=1 d=1 t=17052
lei xing zhuan huan 	類型轉換	c=1 d=1 t=17923
li 	例	c=3 d=1.49878 t=6795
li 	利	c=1 d=1 t=11080
li 	力	c=1 d=1 t=4560
li 	李	c=2 d=1 t=19117
li 	立	c=0 d=0.1 t=27416
li 	裏	c=183 d=0.416356 t=26899
li 	離	c=2 d=1 t=24953
li an 	里安	c=1 d=1 t=547
li de 	裏的	c=11 d=1.25803 t=25152
li du 	粒度	c=3 d=1.00001 t=22996
li ji 	立即	c=2 d=1 t=25720
li jie 	理解	c=8 d=1.0001 t=25144
li jie le 	理解了	c=2 d=1.99501 t=9142
li kai 	李凱	c=5 d=1.99615 t=19151
li kai 	離開	c=1 d=1 t=17494
li ke 	立刻	c=1 d=1 t=16595
li lun 	理論	c=2 d=1 t=8012
li lun shang 	理論上	c=2 d=1.97531 t=26410
li ma 	力馬	c=2 d=1.93239 t=7819
li ma 	裏嗎	c=1 d=1 t=2491
li mian 	裏面	c=16 d=1.00104 t=23374
li pu 	離譜	c=2 d=1 t=19186
li qi 	力氣	c=1 d=1 t=23471
li shi 	歷史	c=6 d=2.24969 t=26505
li shi bo wu guan 	歷史博物館	c=1 d=1 t=2370
li tang 	理塘	c=1 d=1 t=5119
li tong 	李通	c=1 d=1 t=14229
li wu 	利物	c=1 d=1 t=9096
li wu 	禮物	c=1 d=1 t=9097
li xiang 	理想	c=5 d=0.100777 t=26480
li xiang de 	理想的	c=1 d=1 t=11672
li xiang zhuang tai xia 	理想狀態下	c=1 d=1 t=26481
li xiao 	離校	c=2 d=1.97531 t=9845
li yong 	利用	c=7 d=1 t=22660
li you 	理由	c=2 d=1 t=3341
li zi 	例子	c=10 d=1.19989 t=25664
lia 	倆	c=2 d=1.00002 t=15573
lian 	連	c=2 d=1 t=18634
lian biao 	鏈表	c=5 d=2.66641 t=7174
lian bu shang 	連不上	c=1 d=1 t=8789
lian dao 	連到	c=1 d=1 t=23106
lian guan 	連貫	c=1 d=1 t=16048
lian jie 	連接	c=38 d=1 t=21258
lian jie 	鏈接	c=2 d=1 t=27240
lian jie shi 	連接時	c=1 d=1 t=15250
lian lu 	鏈路	c=3 d=1 t=13320
lian tong 	聯通	c=1 d=1 t=8783
lian xi 	聯繫	c=1 d=1 t=2529
lian xu 	連續	c=1 d=1 t=3232
liang 	亮	c=1 d=1 t=13527
liang 	量	c=5 d=1 t=25405
liang bei 	兩倍	c=1 d=1 t=13591
liang bu fen 	兩部分	c=4 d=1 t=17396
liang ceng 	兩層	c=2 d=1.98511 t=4321
liang ci 	兩次	c=1 d=1 t=13718
liang dian 	亮點	c=2 d=1.8825 t=1540
liang ge 	兩個	c=31 d=1.00504 t=26736
liang ge lu jing 	兩個路徑	c=1 d=1 t=21141
liang ge ren 	兩個人	c=2 d=1.00381 t=8809
liang jian 	兩件	c=0 d=0.1 t=15876
liang jian shi 	兩件事	c=1 d=1 t=15689
liang kuai 	兩塊	c=1 d=1 t=25814
liang xiang 	兩項	c=0 d=0.1 t=15043
liang zhong 	兩種	c=20 d=0.728135 t=23431
liang zhong qing kuang 	兩種情況	c=1 d=1 t=10792
liang zhong zuo fa 	兩種做法	c=1 d=1 t=23432
liang zhou 	兩周	c=3 d=2.9459 t=6455
liao 	了	c=0 d=0.1 t=8758
liao 	廖	c=1 d=1 t=19538
liao 	聊	c=1 d=1.09465 t=501
liao le 	聊了	c=1 d=1 t=25448
liao yi xia 	聊一下	c=1 d=1 t=491
lie 	列	c=13 d=1.00046 t=23926
lie 	劣	c=1 d=1 t=27220
lie biao 	列表	c=1 d=1 t=4056
lin 	林	c=2 d=1.00083 t=10401
lin 	藺	c=1 d=1 t=22005
lin bing 	林冰	c=1 d=1 t=2768
ling 	令	c=14 d=2.41712 t=18311
ling 	凌	c=1 d=1 t=207
ling 	另	c=2 d=1 t=23568
ling 	領	c=4 d=1 t=12960
ling feng 	凌楓	c=4 d=1.9802 t=24846
ling huo 	靈活	c=0 d=0.1 t=5483
ling huo xing 	靈活性	c=1 d=1 t=23587
ling qu 	領取	c=1 d=1 t=19603
ling wai 	另外	c=5 d=1 t=22101
ling yi 	另一	c=0 d=0.1 t=26650
ling yi ge 	另一個	c=5 d=1 t=25623
ling yi jie 	另一節	c=1 d=1 t=6850
